year,state_code,producer_type,fuel_source,generators,facilities,nameplate_capacity_(megawatts),summer_capacity_(megawatts),summer_capacity_change
1990,AK,"Combined Heat and Power, Commercial Power",All Sources,,4.0,85.9,80.1,
1991,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,72.5,67.9,-12.199999999999989
1992,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,72.5,68.0,0.09999999999999432
1993,AK,"Combined Heat and Power, Commercial Power",All Sources,,4.0,68.0,63.6,-4.399999999999999
1994,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.3,71.3,7.699999999999996
1995,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.2,71.3,0.0
1996,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.3,71.3,0.0
1997,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.3,71.3,0.0
1998,AK,"Combined Heat and Power, Commercial Power",All Sources,,5.0,43.8,41.0,-30.299999999999997
1999,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.4,50.2,9.200000000000003
2000,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.0,50.0,-0.20000000000000284
2001,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.0,34.0,-16.0
2002,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.0,34.0,0.0
2003,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,84.0,58.0,24.0
2004,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,85.0,59.0,1.0
2005,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,85.0,75.0,16.0
2006,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,85.0,75.0,0.0
2007,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,84.0,74.0,-1.0
2008,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,84.0,74.0,0.0
2009,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,81.0,71.0,-3.0
2010,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,86.0,76.0,5.0
1990,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,
1991,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,0.0
1992,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,0.0
1993,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,0.0
1994,AR,"Combined Heat and Power, Commercial Power",All Sources,,4.0,14.2,13.8,0.0
1995,AR,"Combined Heat and Power, Commercial Power",All Sources,,4.0,14.2,13.8,0.0
1996,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,-5.0
1997,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,0.0
1998,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,0.0
1999,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,0.0
2000,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,9.0,0.1999999999999993
2001,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,-1.0
2002,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,0.0
2003,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,0.0
2004,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,0.0
2005,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,-6.0
2006,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,0.0
2007,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,0.0
2008,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,1.0,1.0,-1.0
2009,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,1.0
2010,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,0.0
1990,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,6.9,6.5,
1991,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,6.9,6.5,0.0
1992,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.5,0.0
1993,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.09999999999999964
1994,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1995,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1996,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1997,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1998,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,4.6,4.4,-2.1999999999999993
1999,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,9.2,8.5,4.1
2000,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,9.0,9.0,0.5
2001,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,7.0,7.0,-2.0
2002,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,7.0,7.0,0.0
2003,AZ,"Combined Heat and Power, Commercial Power",All Sources,,5.0,18.0,17.0,10.0
2004,AZ,"Combined Heat and Power, Commercial Power",All Sources,,5.0,18.0,17.0,0.0
