"","variable","unit","fuel","year","value","iso"
"1","elec_net_generation","mil_kwh","coal",1949,135451.32,"usa"
"2","elec_net_generation","mil_kwh","coal",1950,154519.994,"usa"
"3","elec_net_generation","mil_kwh","coal",1951,185203.657,"usa"
"4","elec_net_generation","mil_kwh","coal",1952,195436.666,"usa"
"5","elec_net_generation","mil_kwh","coal",1953,218846.325,"usa"
"6","elec_net_generation","mil_kwh","coal",1954,239145.966,"usa"
"7","elec_net_generation","mil_kwh","coal",1955,301362.698,"usa"
"8","elec_net_generation","mil_kwh","coal",1956,338503.484,"usa"
"9","elec_net_generation","mil_kwh","coal",1957,346386.207,"usa"
"10","elec_net_generation","mil_kwh","coal",1958,344365.781,"usa"
"11","elec_net_generation","mil_kwh","coal",1959,378424.21,"usa"
"12","elec_net_generation","mil_kwh","coal",1960,403067.357,"usa"
"13","elec_net_generation","mil_kwh","coal",1961,421870.669,"usa"
"14","elec_net_generation","mil_kwh","coal",1962,450249.238,"usa"
"15","elec_net_generation","mil_kwh","coal",1963,493926.719,"usa"
"16","elec_net_generation","mil_kwh","coal",1964,526230.019,"usa"
"17","elec_net_generation","mil_kwh","coal",1965,570925.951,"usa"
"18","elec_net_generation","mil_kwh","coal",1966,613474.8,"usa"
"19","elec_net_generation","mil_kwh","coal",1967,630483.363,"usa"
"20","elec_net_generation","mil_kwh","coal",1968,684904.58,"usa"
"21","elec_net_generation","mil_kwh","coal",1969,706001.24,"usa"
"22","elec_net_generation","mil_kwh","coal",1970,704394.479,"usa"
"23","elec_net_generation","mil_kwh","coal",1971,713102.454,"usa"
"24","elec_net_generation","mil_kwh","coal",1972,771131.265,"usa"
"37","elec_net_generation","mil_kwh","coal",1973,847651.47,"usa"
"50","elec_net_generation","mil_kwh","coal",1974,828432.921,"usa"
"63","elec_net_generation","mil_kwh","coal",1975,852786.222,"usa"
"76","elec_net_generation","mil_kwh","coal",1976,944390.993,"usa"
"89","elec_net_generation","mil_kwh","coal",1977,985218.596,"usa"
"102","elec_net_generation","mil_kwh","coal",1978,975742.083,"usa"
"115","elec_net_generation","mil_kwh","coal",1979,1075037.091,"usa"
"128","elec_net_generation","mil_kwh","coal",1980,1161562.368,"usa"
"141","elec_net_generation","mil_kwh","coal",1981,1203203.232,"usa"
"154","elec_net_generation","mil_kwh","coal",1982,1192004.204,"usa"
"167","elec_net_generation","mil_kwh","coal",1983,1259424.279,"usa"
"180","elec_net_generation","mil_kwh","coal",1984,1341680.752,"usa"
"193","elec_net_generation","mil_kwh","coal",1985,1402128.125,"usa"
"206","elec_net_generation","mil_kwh","coal",1986,1385831.452,"usa"
"219","elec_net_generation","mil_kwh","coal",1987,1463781.289,"usa"
"232","elec_net_generation","mil_kwh","coal",1988,1540652.774,"usa"
"245","elec_net_generation","mil_kwh","coal",1989,1583779.139,"usa"
"258","elec_net_generation","mil_kwh","coal",1990,1594011.479,"usa"
"271","elec_net_generation","mil_kwh","coal",1991,1590622.748,"usa"
"284","elec_net_generation","mil_kwh","coal",1992,1621206.039,"usa"
"297","elec_net_generation","mil_kwh","coal",1993,1690070.232,"usa"
"310","elec_net_generation","mil_kwh","coal",1994,1690693.864,"usa"
"323","elec_net_generation","mil_kwh","coal",1995,1709426.468,"usa"
"336","elec_net_generation","mil_kwh","coal",1996,1795195.593,"usa"
"349","elec_net_generation","mil_kwh","coal",1997,1845015.736,"usa"
"362","elec_net_generation","mil_kwh","coal",1998,1873515.69,"usa"
"375","elec_net_generation","mil_kwh","coal",1999,1881087.224,"usa"
"388","elec_net_generation","mil_kwh","coal",2000,1966264.596,"usa"
"401","elec_net_generation","mil_kwh","coal",2001,1903955.942,"usa"
"414","elec_net_generation","mil_kwh","coal",2002,1933130.354,"usa"
"427","elec_net_generation","mil_kwh","coal",2003,1973736.752,"usa"
"440","elec_net_generation","mil_kwh","coal",2004,1978300.549,"usa"
"453","elec_net_generation","mil_kwh","coal",2005,2012873.046,"usa"
"466","elec_net_generation","mil_kwh","coal",2006,1990511.135,"usa"
"479","elec_net_generation","mil_kwh","coal",2007,2016455.584,"usa"
"492","elec_net_generation","mil_kwh","coal",2008,1985801.247,"usa"
"505","elec_net_generation","mil_kwh","coal",2009,1755904.253,"usa"
"518","elec_net_generation","mil_kwh","coal",2010,1847290.279,"usa"
"531","elec_net_generation","mil_kwh","coal",2011,1733430.005,"usa"
"544","elec_net_generation","mil_kwh","coal",2012,1514042.945,"usa"
"557","elec_net_generation","mil_kwh","coal",2013,1581114.716,"usa"
"570","elec_net_generation","mil_kwh","coal",2014,1581710.35,"usa"
"581","elec_net_generation","mil_kwh","petroleum",1949,28547.232,"usa"
"582","elec_net_generation","mil_kwh","petroleum",1950,33734.288,"usa"
"583","elec_net_generation","mil_kwh","petroleum",1951,28712.116,"usa"
"584","elec_net_generation","mil_kwh","petroleum",1952,29749.761,"usa"
"585","elec_net_generation","mil_kwh","petroleum",1953,38404.449,"usa"
"586","elec_net_generation","mil_kwh","petroleum",1954,31520.175,"usa"
"587","elec_net_generation","mil_kwh","petroleum",1955,37138.308,"usa"
"588","elec_net_generation","mil_kwh","petroleum",1956,35946.772,"usa"
"589","elec_net_generation","mil_kwh","petroleum",1957,40499.357,"usa"
"590","elec_net_generation","mil_kwh","petroleum",1958,40371.54,"usa"
"591","elec_net_generation","mil_kwh","petroleum",1959,46839.719,"usa"
"592","elec_net_generation","mil_kwh","petroleum",1960,47986.893,"usa"
