year,state_code,producer_type,fuel_source,generators,facilities,nameplate_capacity_(megawatts),summer_capacity_(megawatts),summer_capacity_change
1990,US,"Electric Generators, Electric Utilities",All Sources,,3552.0,735051.4,690465.4,
1991,US,"Electric Generators, Electric Utilities",All Sources,,3547.0,739956.6,693016.0,2550.5999999999767
1992,US,"Electric Generators, Electric Utilities",All Sources,,3545.0,741650.7,695059.5,2043.5
1993,US,"Electric Generators, Electric Utilities",All Sources,,3633.0,744690.1,699971.2,4911.699999999953
1994,US,"Electric Generators, Electric Utilities",All Sources,,3632.0,745954.4,702228.7,2257.5
1995,US,"Electric Generators, Electric Utilities",All Sources,,3633.0,750541.7,706111.0,3882.3000000000466
1996,US,"Electric Generators, Electric Utilities",All Sources,,3644.0,756483.6,709941.6,3830.5999999999767
1997,US,"Electric Generators, Electric Utilities",All Sources,,3649.0,754924.7,711889.4,1947.8000000000466
1998,US,"Electric Generators, Electric Utilities",All Sources,,3570.0,728259.3,686691.7,-25197.70000000007
1999,US,"Electric Generators, Electric Utilities",All Sources,,3339.0,677810.8,639323.5,-47368.19999999995
2000,US,"Electric Generators, Electric Utilities",All Sources,,3238.0,639429.0,604319.0,-35004.5
2001,US,"Electric Generators, Electric Utilities",All Sources,,2877.0,584574.0,549920.0,-54399.0
2002,US,"Electric Generators, Electric Utilities",All Sources,,2908.0,596674.0,561074.0,11154.0
2003,US,"Electric Generators, Electric Utilities",All Sources,,2920.0,583633.0,547249.0,-13825.0
2004,US,"Electric Generators, Electric Utilities",All Sources,,2921.0,589556.0,550550.0,3301.0
2005,US,"Electric Generators, Electric Utilities",All Sources,,2951.0,596650.0,556235.0,5685.0
2006,US,"Electric Generators, Electric Utilities",All Sources,,2993.0,610057.0,567523.0,11288.0
2007,US,"Electric Generators, Electric Utilities",All Sources,,2992.0,616525.0,571200.0,3677.0
2008,US,"Electric Generators, Electric Utilities",All Sources,,3036.0,632923.0,584908.0,13708.0
2009,US,"Electric Generators, Electric Utilities",All Sources,,3063.0,646984.0,596769.0,11861.0
2010,US,"Electric Generators, Electric Utilities",All Sources,,3092.0,654959.0,602151.0,5382.0
2011,US,"Electric Generators, Electric Utilities",All Sources,"9,571",2727.0,666102.6,611104.7,8953.699999999953
2012,US,"Electric Generators, Electric Utilities",All Sources,"9,624",2769.0,680592.0,621784.9,10680.20000000007
2013,US,"Electric Generators, Electric Utilities",All Sources,"9,463",2757.0,674828.2,616799.4,-4985.5
2014,US,"Electric Generators, Electric Utilities",All Sources,"9,510",2783.0,675675.4,616631.5,-167.90000000002328
1990,US,"Electric Generators, Electric Utilities",Coal,,475.0,322328.5,299780.8,
1991,US,"Electric Generators, Electric Utilities",Coal,,471.0,324092.0,299443.6,-337.20000000001164
1992,US,"Electric Generators, Electric Utilities",Coal,,471.0,324921.1,300385.4,941.8000000000466
1993,US,"Electric Generators, Electric Utilities",Coal,,468.0,324618.5,300634.5,249.09999999997672
1994,US,"Electric Generators, Electric Utilities",Coal,,468.0,324581.3,300940.9,306.4000000000233
1995,US,"Electric Generators, Electric Utilities",Coal,,465.0,324389.8,300568.7,-372.20000000001164
1996,US,"Electric Generators, Electric Utilities",Coal,,467.0,326457.2,302419.8,1851.0999999999767
1997,US,"Electric Generators, Electric Utilities",Coal,,467.0,325000.7,302865.8,446.0
1998,US,"Electric Generators, Electric Utilities",Coal,,456.0,320593.4,299738.9,-3126.899999999965
1999,US,"Electric Generators, Electric Utilities",Coal,,417.0,296882.7,277780.0,-21958.900000000023
2000,US,"Electric Generators, Electric Utilities",Coal,,393.0,278005.0,260990.0,-16790.0
2001,US,"Electric Generators, Electric Utilities",Coal,,373.0,260938.0,244451.0,-16539.0
2002,US,"Electric Generators, Electric Utilities",Coal,,365.0,260571.0,244056.0,-395.0
2003,US,"Electric Generators, Electric Utilities",Coal,,356.0,252567.0,236473.0,-7583.0
2004,US,"Electric Generators, Electric Utilities",Coal,,354.0,251732.0,235976.0,-497.0
2005,US,"Electric Generators, Electric Utilities",Coal,,347.0,245149.0,229705.0,-6271.0
2006,US,"Electric Generators, Electric Utilities",Coal,,345.0,246556.0,230644.0,939.0
2007,US,"Electric Generators, Electric Utilities",Coal,,341.0,247770.0,231289.0,645.0
2008,US,"Electric Generators, Electric Utilities",Coal,,338.0,248796.0,231857.0,568.0
2009,US,"Electric Generators, Electric Utilities",Coal,,341.0,252360.0,234397.0,2540.0
2010,US,"Electric Generators, Electric Utilities",Coal,,333.0,254543.0,235707.0,1310.0
2011,US,"Electric Generators, Electric Utilities",Coal,838,332.0,255891.1,236391.7,684.7000000000116
2012,US,"Electric Generators, Electric Utilities",Coal,790,315.0,252029.4,232078.5,-4313.200000000012
2013,US,"Electric Generators, Electric Utilities",Coal,749,300.0,248274.8,228478.0,-3600.5
2014,US,"Electric Generators, Electric Utilities",Coal,709,286.0,239580.5,219837.9,-8640.100000000006
1990,US,"Electric Generators, Electric Utilities",Geothermal,,,1794.5,1613.5,
1991,US,"Electric Generators, Electric Utilities",Geothermal,,,1714.6,1562.5,-51.0
1992,US,"Electric Generators, Electric Utilities",Geothermal,,,1868.6,1739.0,176.5
1993,US,"Electric Generators, Electric Utilities",Geothermal,,,1876.4,1747.3,8.299999999999955
1994,US,"Electric Generators, Electric Utilities",Geothermal,,,1876.4,1747.3,0.0
1995,US,"Electric Generators, Electric Utilities",Geothermal,,,1876.4,1747.3,0.0
1996,US,"Electric Generators, Electric Utilities",Geothermal,,,1746.4,1621.7,-125.59999999999991
1997,US,"Electric Generators, Electric Utilities",Geothermal,,,1746.4,1621.5,-0.20000000000004547
1998,US,"Electric Generators, Electric Utilities",Geothermal,,,1668.4,1549.5,-72.0
1999,US,"Electric Generators, Electric Utilities",Geothermal,,,259.6,273.0,-1276.5
2000,US,"Electric Generators, Electric Utilities",Geothermal,,4.0,260.0,273.0,0.0
2001,US,"Electric Generators, Electric Utilities",Geothermal,,4.0,257.0,271.0,-2.0
2002,US,"Electric Generators, Electric Utilities",Geothermal,,4.0,257.0,271.0,0.0
2003,US,"Electric Generators, Electric Utilities",Geothermal,,4.0,257.0,162.0,-109.0
2004,US,"Electric Generators, Electric Utilities",Geothermal,,3.0,246.0,152.0,-10.0
2005,US,"Electric Generators, Electric Utilities",Geothermal,,3.0,246.0,242.0,90.0
2006,US,"Electric Generators, Electric Utilities",Geothermal,,3.0,246.0,240.0,-2.0
2007,US,"Electric Generators, Electric Utilities",Geothermal,,3.0,258.0,158.0,-82.0
2008,US,"Electric Generators, Electric Utilities",Geothermal,,3.0,258.0,159.0,1.0
2009,US,"Electric Generators, Electric Utilities",Geothermal,,3.0,258.0,159.0,0.0
2010,US,"Electric Generators, Electric Utilities",Geothermal,,3.0,258.0,159.0,0.0
2011,US,"Electric Generators, Electric Utilities",Geothermal,6,3.0,258.1,158.9,-0.09999999999999432
2012,US,"Electric Generators, Electric Utilities",Geothermal,6,3.0,258.1,162.1,3.1999999999999886
2013,US,"Electric Generators, Electric Utilities",Geothermal,6,3.0,258.1,164.1,2.0
2014,US,"Electric Generators, Electric Utilities",Geothermal,6,3.0,264.8,164.1,0.0
1990,US,"Electric Generators, Electric Utilities",Hydroelectric,,1251.0,70198.0,71423.1,
1991,US,"Electric Generators, Electric Utilities",Hydroelectric,,1254.0,70591.5,73617.2,2194.0999999999913
1992,US,"Electric Generators, Electric Utilities",Hydroelectric,,1261.0,71338.1,72185.3,-1431.8999999999942
1993,US,"Electric Generators, Electric Utilities",Hydroelectric,,1286.0,71777.2,74763.2,2577.899999999994
1994,US,"Electric Generators, Electric Utilities",Hydroelectric,,1280.0,71912.2,74786.6,23.40000000000873
1995,US,"Electric Generators, Electric Utilities",Hydroelectric,,1244.0,72471.3,75274.0,487.3999999999942
1996,US,"Electric Generators, Electric Utilities",Hydroelectric,,1246.0,72565.7,73129.0,-2145.0
1997,US,"Electric Generators, Electric Utilities",Hydroelectric,,1239.0,73202.5,76177.2,3048.199999999997
1998,US,"Electric Generators, Electric Utilities",Hydroelectric,,1214.0,73084.5,75525.5,-651.6999999999971
1999,US,"Electric Generators, Electric Utilities",Hydroelectric,,1082.0,71585.8,74122.0,-1403.5
2000,US,"Electric Generators, Electric Utilities",Hydroelectric,,1057.0,71185.0,73738.0,-384.0
2001,US,"Electric Generators, Electric Utilities",Hydroelectric,,905.0,70633.0,72968.0,-770.0
2002,US,"Electric Generators, Electric Utilities",Hydroelectric,,907.0,70984.0,73391.0,423.0
2003,US,"Electric Generators, Electric Utilities",Hydroelectric,,900.0,71031.0,72827.0,-564.0
2004,US,"Electric Generators, Electric Utilities",Hydroelectric,,895.0,71124.0,71696.0,-1131.0
2005,US,"Electric Generators, Electric Utilities",Hydroelectric,,896.0,71289.0,71568.0,-128.0
2006,US,"Electric Generators, Electric Utilities",Hydroelectric,,894.0,71350.0,71840.0,272.0
2007,US,"Electric Generators, Electric Utilities",Hydroelectric,,890.0,71797.0,72186.0,346.0
2008,US,"Electric Generators, Electric Utilities",Hydroelectric,,886.0,71842.0,72142.0,-44.0
2009,US,"Electric Generators, Electric Utilities",Hydroelectric,,887.0,71994.0,72690.0,548.0
2010,US,"Electric Generators, Electric Utilities",Hydroelectric,,888.0,72260.0,72974.0,284.0
2011,US,"Electric Generators, Electric Utilities",Hydroelectric,"2,585",884.0,71636.6,72182.4,-791.6000000000058
2012,US,"Electric Generators, Electric Utilities",Hydroelectric,"2,567",875.0,71880.9,72505.1,322.70000000001164
2013,US,"Electric Generators, Electric Utilities",Hydroelectric,"2,561",873.0,72023.9,72755.2,250.09999999999127
2014,US,"Electric Generators, Electric Utilities",Hydroelectric,"2,607",889.0,72755.7,73725.4,970.1999999999971
1990,US,"Electric Generators, Electric Utilities",Natural Gas,,825.0,130157.6,121300.4,
1991,US,"Electric Generators, Electric Utilities",Natural Gas,,832.0,135858.8,126837.1,5536.700000000012
1992,US,"Electric Generators, Electric Utilities",Natural Gas,,836.0,137239.8,128149.0,1311.8999999999942
1993,US,"Electric Generators, Electric Utilities",Natural Gas,,850.0,142402.3,132427.3,4278.299999999988
1994,US,"Electric Generators, Electric Utilities",Natural Gas,,860.0,142734.9,133620.1,1192.8000000000175
1995,US,"Electric Generators, Electric Utilities",Natural Gas,,868.0,152359.3,142295.2,8675.100000000006
1996,US,"Electric Generators, Electric Utilities",Natural Gas,,878.0,150110.5,139936.2,-2359.0
1997,US,"Electric Generators, Electric Utilities",Natural Gas,,878.0,151102.4,141713.2,1777.0
1998,US,"Electric Generators, Electric Utilities",Natural Gas,,844.0,139677.4,130404.3,-11308.900000000009
