"overnight_category","fuel_1_general","year","capacity.factor.avg"
"biomass","biomass",1990,0.362691989975603
"biomass","biomass",1991,0.348775494303393
"biomass","biomass",1992,0.365340598331509
"biomass","biomass",1993,0.269253769956623
"biomass","biomass",1994,0.34853293786964
"biomass","biomass",1995,0.294485074372584
"biomass","biomass",1996,0.188687691510454
"biomass","biomass",1997,0.383809577084068
"biomass","biomass",1998,0.38709487488663
"biomass","biomass",1999,0.386013876873552
"biomass","biomass",2000,NA
"biomass","biomass",2001,0.527155092963605
"biomass","biomass",2002,0.492037362751257
"biomass","biomass",2003,0.48139420588665
"biomass","biomass",2004,0.501548199489076
"biomass","biomass",2005,0.544143473977125
"biomass","biomass",2006,0.523707801210035
"biomass","biomass",2007,0.513585893872666
"biomass","biomass",2008,0.523528316904311
"biomass","biomass",2009,0.49049878295583
"biomass","biomass",2010,0.497811977727955
"biomass","biomass",2011,0.484010230430113
"biomass","biomass",2012,0.48734225398921
"biomass","biomass",2013,0.4760897822323
"biomass","biomass",2014,0.504652882669987
"coal","coal",1990,0.473327325607126
"coal","coal",1991,0.463236414982425
"coal","coal",1992,0.465209550428521
"coal","coal",1993,0.486985019733605
"coal","coal",1994,0.489791601800322
"coal","coal",1995,0.489923530305502
"coal","coal",1996,0.566774336109826
"coal","coal",1997,0.53009724744343
"coal","coal",1998,0.54461233937281
"coal","coal",1999,0.539784507567682
"coal","coal",2000,NA
"coal","coal",2001,0.565349452415637
"coal","coal",2002,0.572140502689639
"coal","coal",2003,0.579028242109153
"coal","coal",2004,0.587117191301759
"coal","coal",2005,0.600125807957992
"coal","coal",2006,0.586280999893635
"coal","coal",2007,0.6041355544426
"coal","coal",2008,0.583755325820745
"coal","coal",2009,0.491855979904501
"coal","coal",2010,0.535063417233648
"coal","coal",2011,0.499249484933957
"coal","coal",2012,0.443967976842712
"coal","coal",2013,0.476968225907611
"coal","coal",2014,0.493787058150856
"conventional combined cycle","natural gas",1990,0.26436863257653
"conventional combined cycle","natural gas",1991,0.25280864625669
"conventional combined cycle","natural gas",1992,0.233451436271703
"conventional combined cycle","natural gas",1993,0.255199308487249
"conventional combined cycle","natural gas",1994,0.261502279151203
"conventional combined cycle","natural gas",1995,0.265683138369506
"conventional combined cycle","natural gas",1996,0.339244841984577
"conventional combined cycle","natural gas",1997,0.229430294244729
"conventional combined cycle","natural gas",1998,0.277019367544087
"conventional combined cycle","natural gas",1999,0.323780005793878
"conventional combined cycle","natural gas",2000,NA
"conventional combined cycle","natural gas",2001,0.495935169675195
"conventional combined cycle","natural gas",2002,0.453122485356665
"conventional combined cycle","natural gas",2003,0.359429588097343
"conventional combined cycle","natural gas",2004,0.367464848060446
"conventional combined cycle","natural gas",2005,0.375966464152102
"conventional combined cycle","natural gas",2006,0.380587057276687
"conventional combined cycle","natural gas",2007,0.403257132722527
"conventional combined cycle","natural gas",2008,0.390357083317004
"conventional combined cycle","natural gas",2009,0.394969244990999
"conventional combined cycle","natural gas",2010,0.406706273513538
"conventional combined cycle","natural gas",2011,0.399807772471719
"conventional combined cycle","natural gas",2012,0.462313546503583
"conventional combined cycle","natural gas",2013,0.429617380624954
"conventional combined cycle","natural gas",2014,0.428619728852462
"conventional combined cycle","oil",1990,0.112386766605277
"conventional combined cycle","oil",1991,0.0972282035398737
"conventional combined cycle","oil",1992,0.161207629874161
"conventional combined cycle","oil",1993,0.129528159037869
"conventional combined cycle","oil",1994,0.164722682141131
"conventional combined cycle","oil",1995,0.171335171005623
"conventional combined cycle","oil",1996,0.0841988381707773
"conventional combined cycle","oil",1997,0.230524812822423
"conventional combined cycle","oil",1998,0.25587476629004
