"overnight_category","fuel_1_general","year"
"biomass","biomass",1990
"biomass","biomass",1991
"biomass","biomass",1992
"biomass","biomass",1993
"biomass","biomass",1994
"biomass","biomass",1995
"biomass","biomass",1996
"biomass","biomass",1997
"biomass","biomass",1998
"biomass","biomass",1999
"biomass","biomass",2000
"biomass","biomass",2001
"biomass","biomass",2002
"biomass","biomass",2003
"biomass","biomass",2004
"biomass","biomass",2005
"biomass","biomass",2006
"biomass","biomass",2007
"biomass","biomass",2008
"biomass","biomass",2009
"biomass","biomass",2010
"biomass","biomass",2011
"biomass","biomass",2012
"biomass","biomass",2013
"biomass","biomass",2014
"coal","coal",1990
"coal","coal",1991
"coal","coal",1992
"coal","coal",1993
"coal","coal",1994
"coal","coal",1995
"coal","coal",1996
"coal","coal",1997
"coal","coal",1998
"coal","coal",1999
"coal","coal",2000
"coal","coal",2001
"coal","coal",2002
"coal","coal",2003
"coal","coal",2004
"coal","coal",2005
"coal","coal",2006
"coal","coal",2007
"coal","coal",2008
"coal","coal",2009
"coal","coal",2010
"coal","coal",2011
"coal","coal",2012
"coal","coal",2013
"coal","coal",2014
"conventional combined cycle","natural gas",1990
"conventional combined cycle","natural gas",1991
"conventional combined cycle","natural gas",1992
"conventional combined cycle","natural gas",1993
"conventional combined cycle","natural gas",1994
"conventional combined cycle","natural gas",1995
"conventional combined cycle","natural gas",1996
"conventional combined cycle","natural gas",1997
"conventional combined cycle","natural gas",1998
"conventional combined cycle","natural gas",1999
"conventional combined cycle","natural gas",2000
"conventional combined cycle","natural gas",2001
"conventional combined cycle","natural gas",2002
"conventional combined cycle","natural gas",2003
"conventional combined cycle","natural gas",2004
"conventional combined cycle","natural gas",2005
"conventional combined cycle","natural gas",2006
"conventional combined cycle","natural gas",2007
"conventional combined cycle","natural gas",2008
"conventional combined cycle","natural gas",2009
"conventional combined cycle","natural gas",2010
"conventional combined cycle","natural gas",2011
"conventional combined cycle","natural gas",2012
"conventional combined cycle","natural gas",2013
"conventional combined cycle","natural gas",2014
"conventional combined cycle","oil",1990
"conventional combined cycle","oil",1991
"conventional combined cycle","oil",1992
"conventional combined cycle","oil",1993
"conventional combined cycle","oil",1994
"conventional combined cycle","oil",1995
"conventional combined cycle","oil",1996
"conventional combined cycle","oil",1997
"conventional combined cycle","oil",1998
"conventional combined cycle","oil",1999
"conventional combined cycle","oil",2000
"conventional combined cycle","oil",2001
"conventional combined cycle","oil",2002
"conventional combined cycle","oil",2003
"conventional combined cycle","oil",2004
"conventional combined cycle","oil",2005
"conventional combined cycle","oil",2006
"conventional combined cycle","oil",2007
"conventional combined cycle","oil",2008
"conventional combined cycle","oil",2009
"conventional combined cycle","oil",2010
"conventional combined cycle","oil",2011
"conventional combined cycle","oil",2012
"conventional combined cycle","oil",2013
"conventional combined cycle","oil",2014
"conventional combustion turbine","kerosene",1990
"conventional combustion turbine","kerosene",1991
"conventional combustion turbine","kerosene",1992
"conventional combustion turbine","kerosene",1993
"conventional combustion turbine","kerosene",1994
"conventional combustion turbine","kerosene",1995
"conventional combustion turbine","kerosene",1996
"conventional combustion turbine","kerosene",1997
"conventional combustion turbine","kerosene",1998
"conventional combustion turbine","kerosene",1999
"conventional combustion turbine","kerosene",2000
"conventional combustion turbine","kerosene",2001
"conventional combustion turbine","kerosene",2002
"conventional combustion turbine","kerosene",2003
"conventional combustion turbine","kerosene",2004
"conventional combustion turbine","kerosene",2005
"conventional combustion turbine","kerosene",2006
"conventional combustion turbine","kerosene",2007
"conventional combustion turbine","kerosene",2008
"conventional combustion turbine","kerosene",2009
"conventional combustion turbine","kerosene",2010
"conventional combustion turbine","kerosene",2011
"conventional combustion turbine","kerosene",2012
"conventional combustion turbine","kerosene",2013
"conventional combustion turbine","kerosene",2014
"conventional combustion turbine","natural gas",1990
"conventional combustion turbine","natural gas",1991
"conventional combustion turbine","natural gas",1992
"conventional combustion turbine","natural gas",1993
"conventional combustion turbine","natural gas",1994
"conventional combustion turbine","natural gas",1995
"conventional combustion turbine","natural gas",1996
"conventional combustion turbine","natural gas",1997
"conventional combustion turbine","natural gas",1998
"conventional combustion turbine","natural gas",1999
"conventional combustion turbine","natural gas",2000
"conventional combustion turbine","natural gas",2001
"conventional combustion turbine","natural gas",2002
"conventional combustion turbine","natural gas",2003
"conventional combustion turbine","natural gas",2004
"conventional combustion turbine","natural gas",2005
"conventional combustion turbine","natural gas",2006
"conventional combustion turbine","natural gas",2007
"conventional combustion turbine","natural gas",2008
"conventional combustion turbine","natural gas",2009
"conventional combustion turbine","natural gas",2010
"conventional combustion turbine","natural gas",2011
"conventional combustion turbine","natural gas",2012
"conventional combustion turbine","natural gas",2013
"conventional combustion turbine","natural gas",2014
"conventional combustion turbine","oil",1990
"conventional combustion turbine","oil",1991
"conventional combustion turbine","oil",1992
"conventional combustion turbine","oil",1993
"conventional combustion turbine","oil",1994
"conventional combustion turbine","oil",1995
"conventional combustion turbine","oil",1996
"conventional combustion turbine","oil",1997
"conventional combustion turbine","oil",1998
"conventional combustion turbine","oil",1999
"conventional combustion turbine","oil",2000
"conventional combustion turbine","oil",2001
"conventional combustion turbine","oil",2002
