"Plant.Name"	"plant.id"	"plant_code"	"RPS.ID"	"ARB.ID"	"Unit"	"Start.Date"	"Retired.Unit"	"Retire.Date"	"CA.ISO.Resource.ID"	"CA.ISO.Generating.Unit.Name"	"Company.Owner.Name"	"City"	"County"	"State"
"Vaca Dixon Battery Storage"	"B0001"	NA	""	NA	"Unit 1"	"7/1/2013"	FALSE	""	"VACADX_1_NAS"	"Vaca Dixon Battery NAS"	"Pacific Gas & Electric (PG&E)"	"Vacaville"	"Solano"	"CA"
"ACE Cogeneration (ACE is Argus Cogen Expansion - Retired)"	"C0001"	10002	""	100001	"GEN 1"	"12/1/1990"	TRUE	"10/1/2014"	"MCGEN_1_UNIT"	""	"ACE Cogeneration Co"	"Trona"	"San Bernardino"	"CA"
"Los Angeles Refinery - Calciner"	"C0002"	10601	""	100002	"UNIT 1"	"12/1/1982"	FALSE	""	"HINSON_6_CARBGN"	"BP WILMINGTON CALCINER"	"Tesoro Refining & Marketing Company LLC"	"Wilmington"	"Los Angeles"	"CA"
"Port of Stockton District Energy Facility - Retired Jan 2011"	"C0004"	54238	"60964"	104455	"GEN 1"	"12/1/1989"	TRUE	"1/1/2011"	"COGNAT_1_UNIT"	"Stockton Biomas"	"DTE Stockton LLC"	"Stockton"	"San Joaquin"	"CA"
"Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012"	"C0005"	56446	""	NA	"1"	"6/1/1986"	TRUE	"12/31/2012"	""	""	"Jackson Valley Energy Part LP"	"Ione"	"Amador"	"CA"
"Hanford - Retired October 2011"	"C0007"	10373	""	100004	"GEN 1"	"9/1/1990"	TRUE	"10/18/2011"	"GWFPWR_6_UNIT"	"HANFORD L.P."	"Hanford LP"	"Hanford"	"Kings"	"CA"
"East Third Street Power Plant - Retired April 2012"	"C0008"	10367	""	100005	"GEN 1"	"12/1/1990"	TRUE	"4/26/2012"	"GWFPW1_6_UNIT"	""	"GWF Power Systems LP"	"Pittsburg"	"Contra Costa"	"CA"
"Loveridge Road Power Plant - Retired April 2012"	"C0009"	10368	""	100006	"GEN 1"	"12/1/1989"	TRUE	"4/26/2012"	"GWFPW2_1_UNIT 1"	""	"GWF Power Systems LP"	"Pittsburg"	"Contra Costa"	"CA"
"Wilbur East Power Plant - Retired April 2012"	"C0010"	10370	""	NA	"GEN 1"	"10/1/1989"	TRUE	"4/26/2012"	"GWFPW3_1_UNIT 1"	""	"GWF Power Systems LP"	"Antioch"	"Contra Costa"	"CA"
"Wilbur West Power Plant - Retired April 2012"	"C0011"	10369	""	100008	"GEN 1"	"8/1/1990"	TRUE	"4/26/2012"	"GWFPW4_6_UNIT 1"	""	"GWF Power Systems LP"	"Antioch"	"Contra Costa"	"CA"
"Nichols Road Power Plant - Retired April 2012"	"C0012"	10371	""	100009	"GEN 1"	"3/1/1990"	TRUE	"4/26/2012"	"GWFPW5_6_UNIT 1"	""	"GWF Power Systems LP"	"Bay Point"	"Contra Costa"	"CA"
"Mt. Poso Cogeneration - Retired November 2011"	"C0016"	54626	""	NA	"S/N 412585"	"9/1/1988"	TRUE	"11/1/2011"	"MTNPOS_1_UNIT"	"MT. POSO COGENERATION CO."	"Mt Poso Cogeneration Co"	"Bakersfield"	"Kern"	"CA"
"Argus Cogen Plant"	"C0017"	10684	""	100011	"TG #5"	"12/1/1947"	FALSE	""	"SEARLS_7_ARGUS"	"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)"	"Karnavati Holdings Inc"	"Trona"	"San Bernardino"	"CA"
"Argus Cogen Plant"	"C0017"	10684	""	100011	"TG #8"	"5/1/1978"	FALSE	""	"SEARLS_7_ARGUS"	"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)"	"Karnavati Holdings Inc"	"Trona"	"San Bernardino"	"CA"
