"overnight_category"	"fuel_1_general"	"year"	"capacity_mw"	"n"	"avg_size_mw"	"avg_age"	"heat_rate"	"capacity.factor.avg"	"efficiency"	"pred.heat.rate"	"fuel.price"	"adj.fuel.price"	"technology"	"online"	"size"	"lead.time"	"base.overnight"	"contingency.factor"	"tech.optimism"	"total.overnight"	"variable.o.m"	"fixed.o.m"	"heat.rate"	"heat.rate.nth"	"cost.year"
"biomass"	"biomass"	1990	0	NA	NA	NA	15400.6315789474	0.362691989975603	NA	17257.4879929463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1991	0	NA	NA	NA	15716.0526315789	0.348775494303393	NA	17409.3539713076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1992	0	NA	NA	NA	15709.4210526316	0.365340598331509	NA	17556.8227743049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1993	0	NA	NA	NA	15771.6666666667	0.269253769956623	NA	17699.8944019382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1994	32	1	32	0	15091.5454545455	0.34853293786964	NA	17838.5688542075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1995	0	NA	NA	NA	15190.5	0.294485074372584	NA	17972.8461311128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1996	0	NA	NA	NA	NA	0.188687691510454	NA	18102.7262326541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1997	3	1	3	0	NA	0.383809577084068	NA	18228.2091588313	NA	NA	"Biomass"	2000	NA	4	1744	NA	NA	NA	2.2	67	8979	8077	1995
"biomass"	"biomass"	1998	0	NA	NA	NA	NA	0.38709487488663	NA	18349.2949096446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"biomass"	"biomass"	1999	8.4	4	2.1	0	NA	0.386013876873552	NA	18465.9834850939	NA	NA	"Biomass"	2001	100	4	1448	NA	NA	NA	5.32	44	9224	8219	1997
"biomass"	"biomass"	2000	0	NA	NA	NA	NA	NA	NA	18578.2748851791	NA	NA	"Biomass"	2001	100	4	1877	NA	NA	NA	5.32	44	9224	8219	1998
"biomass"	"biomass"	2001	6.5	1	6.5	0	23016.3381384846	0.527155092963605	NA	18686.1691099004	NA	NA	"Biomass"	2005	100	4	1464	1.07	1.1	1723	2.83	43.88	8911	8911	1999
"biomass"	"biomass"	2002	4.7	1	4.7	0	21169.2500695338	0.492037362751257	NA	18789.6661592576	NA	NA	"Biomass"	2005	100	4	1536	1.07	1.05	1725	2.9	44.95	8911	8911	2000
"biomass"	"biomass"	2003	19.4	3	6.46666666666667	0	21549.6773437713	0.48139420588665	NA	18888.7660332509	NA	NA	"Biomass"	2006	100	4	1569	1.07	1.05	1763	2.96	45.94	8911	8911	2001
"biomass"	"biomass"	2004	32.45	3	10.8166666666667	0	19805.5555569399	0.501548199489076	NA	18983.4687318801	NA	NA	"Biomass"	2010	80	4	1588	1.07	1.02	1731	2.96	46.47	8911	8911	2002
"biomass"	"biomass"	2005	0	NA	NA	NA	20175.3597035588	0.544143473977125	NA	19073.7742551454	NA	NA	"Biomass"	2008	80	4	1612	1.07	1.02	1757	2.96	47.18	8911	8911	2003
"biomass"	"biomass"	2006	18.6	1	18.6	0	20682.0612858018	0.523707801210035	NA	19159.6826030466	NA	NA	"Biomass"	2009	80	4	1659	1.07	1.02	1809	3.13	48.56	8911	8911	2004
"biomass"	"biomass"	2007	134.9	5	26.98	0	20607.3534568315	0.513585893872666	NA	19241.1937755838	NA	NA	"Biomass"	2010	80	4	1714	1.07	1.02	1869	2.96	50.18	8911	8911	2005
"biomass"	"biomass"	2008	47	3	15.6666666666667	0	20142.8163583257	0.523528316904311	NA	19318.307772757	NA	NA	"Biomass"	2011	80	4	2490	1.07	1.05	2809	6.53	62.7	8911	8911	2006
"biomass"	"biomass"	2009	66.5	4	16.625	0	19232.458323424	0.49049878295583	NA	19391.0245945662	NA	NA	"Biomass"	2012	80	4	3339	1.07	1.05	3766	6.71	64.45	9646	7765	2007
"biomass"	"biomass"	2010	17	1	17	0	19265.2955152822	0.497811977727955	NA	19459.3442410114	NA	NA	"Biomass"	2013	80	4	3414	1.07	1.05	3849	6.86	65.89	9451	7765	2008
"biomass"	"biomass"	2011	109	4	27.25	0	19569.4690280743	0.484010230430113	NA	19523.2667120926	NA	NA	"Biomass"	2014	50	4	3395	1.07	1.02	3724	6.94	99.3	13500	13500	2009
