"overnight_category"	"fuel_1_general"	"year"	"capacity_mw"	"n"	"avg_size_mw"	"avg_age"	"heat_rate"	"capacity.factor.avg"	"efficiency"	"pred.heat.rate"	"fuel.price"	"adj.fuel.price"
"biomass"	"biomass"	1990	0	NA	NA	NA	15400.6315789474	0.362691989975603	NA	17257.4879929463	NA	NA
"biomass"	"biomass"	1991	0	NA	NA	NA	15716.0526315789	0.348775494303393	NA	17409.3539713076	NA	NA
"biomass"	"biomass"	1992	0	NA	NA	NA	15709.4210526316	0.365340598331509	NA	17556.8227743049	NA	NA
"biomass"	"biomass"	1993	0	NA	NA	NA	15771.6666666667	0.269253769956623	NA	17699.8944019382	NA	NA
"biomass"	"biomass"	1994	32	1	32	0	15091.5454545455	0.34853293786964	NA	17838.5688542075	NA	NA
"biomass"	"biomass"	1995	0	NA	NA	NA	15190.5	0.294485074372584	NA	17972.8461311128	NA	NA
"biomass"	"biomass"	1996	0	NA	NA	NA	NA	0.188687691510454	NA	18102.7262326541	NA	NA
"biomass"	"biomass"	1997	3	1	3	0	NA	0.383809577084068	NA	18228.2091588313	NA	NA
"biomass"	"biomass"	1998	0	NA	NA	NA	NA	0.38709487488663	NA	18349.2949096446	NA	NA
"biomass"	"biomass"	1999	8.4	4	2.1	0	NA	0.386013876873552	NA	18465.9834850939	NA	NA
"biomass"	"biomass"	2000	0	NA	NA	NA	NA	NA	NA	18578.2748851791	NA	NA
"biomass"	"biomass"	2001	6.5	1	6.5	0	23016.3381384846	0.527155092963605	NA	18686.1691099004	NA	NA
"biomass"	"biomass"	2002	4.7	1	4.7	0	21169.2500695338	0.492037362751257	NA	18789.6661592576	NA	NA
"biomass"	"biomass"	2003	19.4	3	6.46666666666667	0	21549.6773437713	0.48139420588665	NA	18888.7660332509	NA	NA
"biomass"	"biomass"	2004	32.45	3	10.8166666666667	0	19805.5555569399	0.501548199489076	NA	18983.4687318801	NA	NA
"biomass"	"biomass"	2005	0	NA	NA	NA	20175.3597035588	0.544143473977125	NA	19073.7742551454	NA	NA
"biomass"	"biomass"	2006	18.6	1	18.6	0	20682.0612858018	0.523707801210035	NA	19159.6826030466	NA	NA
"biomass"	"biomass"	2007	134.9	5	26.98	0	20607.3534568315	0.513585893872666	NA	19241.1937755838	NA	NA
"biomass"	"biomass"	2008	47	3	15.6666666666667	0	20142.8163583257	0.523528316904311	NA	19318.307772757	NA	NA
"biomass"	"biomass"	2009	66.5	4	16.625	0	19232.458323424	0.49049878295583	NA	19391.0245945662	NA	NA
"biomass"	"biomass"	2010	17	1	17	0	19265.2955152822	0.497811977727955	NA	19459.3442410114	NA	NA
"biomass"	"biomass"	2011	109	4	27.25	0	19569.4690280743	0.484010230430113	NA	19523.2667120926	NA	NA
"biomass"	"biomass"	2012	140.6	4	35.15	0	20786.6699016334	0.48734225398921	NA	19582.7920078098	NA	NA
"biomass"	"biomass"	2013	556.2	15	37.08	0	20634.8283319523	0.4760897822323	NA	19637.920128163	NA	NA
"biomass"	"biomass"	2014	46.5	1	46.5	0	21345.9471405829	0.504652882669987	NA	19688.6510731522	NA	NA
"biomass"	"biomass"	2050	NA	NA	NA	NA	11006.4516129032	NA	0.31	18586.4463003352	NA	NA
"biomass"	"biomass"	2100	NA	NA	NA	NA	9477.77777777778	NA	0.36	7601.6793054777	NA	NA
"coal"	"coal"	1990	855	2	427.5	0	11050.3536184211	0.473327325607126	NA	10770.6837410734	NA	NA
"coal"	"coal"	1991	792	2	396	0	11057.7354627355	0.463236414982425	NA	11085.7964988753	1.447	16.0411475338725
"coal"	"coal"	1992	524	2	262	0	10968.6702838063	0.465209550428521	NA	11394.0964405384	1.412	16.0884641740402
"coal"	"coal"	1993	0	NA	NA	NA	11125.024	0.486985019733605	NA	11695.5835660628	1.385	16.1983832389969
"coal"	"coal"	1994	0	NA	NA	NA	10983.5467565291	0.489791601800322	NA	11990.2578754484	1.355	16.2467994212326
"coal"	"coal"	1995	1036	3	345.333333333333	0	10975.9085365854	0.489923530305502	NA	12278.1193686953	1.318	16.1825613279404
"coal"	"coal"	1996	1270.5	4	317.625	0	NA	0.566774336109826	NA	12559.1680458034	1.29	16.2013267790864
"coal"	"coal"	1997	0	NA	NA	NA	NA	0.53009724744343	NA	12833.4039067728	1.27	16.2984229616014
"coal"	"coal"	1998	0	NA	NA	NA	NA	0.54461233937281	NA	13100.8269516034	1.25	16.3760336895043
"coal"	"coal"	1999	55	1	55	0	NA	0.539784507567682	NA	13361.4371802953	1.22	16.3009533599602
"coal"	"coal"	2000	16.35	1	16.35	0	NA	NA	NA	13615.2345928484	1.2	16.3382815114181
"coal"	"coal"	2001	0	NA	NA	NA	12431.0301110099	0.565349452415637	NA	13862.2191892627	1.23	17.0505296027932
"coal"	"coal"	2002	9.77	1	9.77	0	12427.2789543923	0.572140502689639	NA	14102.3909695383	1.22	17.2049169828368
"coal"	"coal"	2003	70	1	70	0	12693.3799637321	0.579028242109153	NA	14335.7499336752	1.26	18.0630449164307
"coal"	"coal"	2004	553	4	138.25	0	12836.9735481071	0.587117191301759	NA	14562.2960816733	1.34	19.5134767494422
"coal"	"coal"	2005	414.52	4	103.63	0	12467.4280783086	0.600125807957992	NA	14782.0294135326	1.53	22.6165050027049
"coal"	"coal"	2006	542.1	5	108.42	0	12740.4130251079	0.586280999893635	NA	14994.9499292532	1.69	25.3414653804379
"coal"	"coal"	2007	1472.2	4	368.05	0	12678.4557687276	0.6041355544426	NA	15201.0576288351	1.78	27.0578825793264
"coal"	"coal"	2008	1481.8	5	296.36	0	14274.9815081883	0.583755325820745	NA	15400.3525122781	2.05	31.5707226501702
"coal"	"coal"	2009	1792.9	13	137.915384615385	0	13770.9446790611	0.491855979904501	NA	15592.8345795825	2.22	34.6160927666731
"coal"	"coal"	2010	5761	10	576.1	0	16351.9244864935	0.535063417233648	NA	15778.503830748	2.27	35.817203695798
"coal"	"coal"	2011	3801.7	8	475.2125	0	17737.670684561	0.499249484933957	NA	15957.3602657749	2.4	38.2976646378597
"coal"	"coal"	2012	3977.2	8	497.15	0	22444.6456688899	0.443967976842712	NA	16129.4038846629	2.43	39.1944514397309
"coal"	"coal"	2013	936.5	1	936.5	0	21873.3732353505	0.476968225907611	NA	16294.6346874122	2.38	38.7812305560411
